nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure
      1660, 2.814609907E-02, 1.235994390E-01, 7.832562164E-02, 1.038832785E+05
      1661, 2.828065861E-02, 1.237697187E-01, 7.973609444E-02, 1.037813774E+05
      1662, 2.839007710E-02, 1.239242166E-01, 8.099558460E-02, 1.036652114E+05
      1663, 2.847656592E-02, 1.240641109E-01, 8.211589856E-02, 1.035187373E+05
      1664, 2.854219769E-02, 1.241896323E-01, 8.310908280E-02, 1.034066215E+05
      1665, 2.859513858E-02, 1.243005980E-01, 8.398667297E-02, 1.030575846E+05
      1666, 2.863258541E-02, 1.244004282E-01, 8.476000484E-02, 1.025664002E+05
      1667, 2.864482110E-02, 1.244879523E-01, 8.544035934E-02, 1.021796318E+05
      1668, 2.865053166E-02, 1.245624696E-01, 8.603739725E-02, 1.017987291E+05
      1669, 2.865553004E-02, 1.246277036E-01, 8.656005587E-02, 1.014973898E+05
      1670, 2.865990045E-02, 1.246847191E-01, 8.701687036E-02, 1.012896675E+05
      1671, 2.866371338E-02, 1.247344825E-01, 8.741557793E-02, 1.011743153E+05
      1672, 2.866703715E-02, 1.247778631E-01, 8.776314552E-02, 1.002844468E+05
      1673, 2.866993153E-02, 1.248156393E-01, 8.806581045E-02, 9.937337452E+04
      1674, 2.867244962E-02, 1.248485047E-01, 8.832912972E-02, 9.859656213E+04
      1675, 2.867463860E-02, 1.248770747E-01, 8.855803361E-02, 9.785855166E+04
      1676, 2.867654016E-02, 1.249018932E-01, 8.875688077E-02, 9.712612304E+04
      1677, 2.867819102E-02, 1.249234397E-01, 8.892951276E-02, 9.636873565E+04
      1678, 2.867962348E-02, 1.249421358E-01, 8.907930650E-02, 9.556886457E+04
      1679, 2.868086585E-02, 1.249583510E-01, 8.920922377E-02, 9.463258449E+04
      1680, 2.868194296E-02, 1.249724090E-01, 8.932185722E-02, 9.364105748E+04
      1681, 2.868138752E-02, 1.249849189E-01, 8.941943417E-02, 9.068405878E+04
      1682, 4.397912987E-03, 1.095250245E-01, 9.078214090E-03, 9.914205102E+04
      1683, 5.035777473E-03, 1.097605044E-01, 1.015524359E-02, 9.883483902E+04
      1684, 5.757744512E-03, 1.100106716E-01, 1.136061421E-02, 9.891463150E+04
      1685, 6.551692460E-03, 1.102683823E-01, 1.271642114E-02, 9.907706471E+04
      1686, 7.392306600E-03, 1.105867647E-01, 1.423852903E-02, 9.896386538E+04
      1687, 8.262032278E-03, 1.109612680E-01, 1.594562608E-02, 9.834213445E+04
      1688, 9.175212092E-03, 1.113665044E-01, 1.784160948E-02, 9.743886939E+04
      1689, 1.015941671E-02, 1.118197272E-01, 1.991281477E-02, 9.658251312E+04
      1690, 1.121938813E-02, 1.123306180E-01, 2.215432665E-02, 9.613103533E+04
      1691, 1.234201303E-02, 1.128988461E-01, 2.456676061E-02, 9.592446200E+04
      1692, 1.350240907E-02, 1.135166843E-01, 2.715198717E-02, 9.578817039E+04
      1693, 1.467782146E-02, 1.141905872E-01, 2.990075387E-02, 9.557606267E+04
      1694, 1.586297181E-02, 1.149005711E-01, 3.279630080E-02, 9.538875922E+04
      1695, 1.704980285E-02, 1.156492207E-01, 3.581208986E-02, 9.532133385E+04
      1696, 1.822801232E-02, 1.163981159E-01, 3.892772491E-02, 9.552283747E+04
      1697, 1.936185896E-02, 1.171667642E-01, 4.211407094E-02, 9.583019270E+04
      1698, 2.049406704E-02, 1.178982881E-01, 4.532960069E-02, 9.657120468E+04
      1699, 2.154926402E-02, 1.186231306E-01, 4.855301368E-02, 9.748808861E+04
      1700, 2.254028937E-02, 1.192903964E-01, 5.175126713E-02, 9.837225118E+04
      1701, 2.345572994E-02, 1.199203368E-01, 5.488641887E-02, 9.934283413E+04
      1702, 2.428829944E-02, 1.205008363E-01, 5.792989026E-02, 1.002780739E+05
      1703, 2.502903792E-02, 1.210110203E-01, 6.085947993E-02, 1.011164225E+05
      1704, 2.567855065E-02, 1.214669644E-01, 6.364908519E-02, 1.018552503E+05
      1705, 2.625178234E-02, 1.219043024E-01, 6.627266300E-02, 1.025067624E+05
      1706, 2.673710516E-02, 1.222843425E-01, 6.872806024E-02, 1.030310555E+05
      1707, 2.714541832E-02, 1.226200071E-01, 7.100502892E-02, 1.034181973E+05
      1708, 2.747375677E-02, 1.228948344E-01, 7.310491835E-02, 1.036742428E+05
      1709, 2.774621936E-02, 1.231513397E-01, 7.502085806E-02, 1.038312751E+05
      1710, 2.797129941E-02, 1.233888556E-01, 7.675802388E-02, 1.039076390E+05
      1711, 2.815309568E-02, 1.235978853E-01, 7.832590186E-02, 1.038840999E+05
      1712, 2.828766992E-02, 1.237681714E-01, 7.973644245E-02, 1.037843373E+05
